Rate,TAX
93.5,0.425
61,2
54.4,2
96.2,1.15
50.6,0.87
48.7,0.84
67.4,3.4
77.1,1.6
74.3,1.339
70.9,0.37
85.5,3.2
54.4,0.57
54.8,1.98
77.4,0.995
86.6,1.36
75.9,0.79
72,0.6
111.2,0.36
89.4,2
82.7,2
64.1,2.51
70.8,2
75.6,1.23
60.6,0.68
98.4,0.17
90.3,1.7
58.6,0.64
70.8,0.8
67.2,1.68
65.5,2.7
47.7,1.66
69.8,4.35
85.1,0.45
67.5,0.44
80.4,1.25
84.9,1.03
60,1.18
76.9,1.6
79.6,3.5
84.4,0.57
65.8,1.53
92.4,0.62
68.2,1.41
37,1.7
69.2,2.62
73.7,0.3
64.5,3.025
93.8,0.55
66.7,2.52
49.1,0.6
